hour,ust_inflow,ust_outflow,net_outflow,whale_outflow,small_outflow,hhi,top_share
2022-04-20 18:00:00+00:00,129610024.99366601,90864980.30445,-38745044.689216,149743.120212,90715237.184238,0.5455641531052269,0.0016479739467314507
2022-04-20 19:00:00+00:00,43014198.871844,41025432.502465,-1988766.3693789989,47257.061122,40978175.441343,0.3145940213433363,0.0011518967196545843
2022-04-20 20:00:00+00:00,92403213.514245,92916319.265564,513105.7513189912,54171654.046927005,38744665.218637,0.339391067792452,0.5830154969021005
2022-04-20 21:00:00+00:00,77411156.277436,110919854.724133,33508698.446696997,65739418.720945,45180436.003188,0.43069388351362425,0.5926749443050071
2022-04-20 22:00:00+00:00,57782159.819854,63652576.900852,5870417.0809980035,16575641.991499001,47076934.909353,0.35317228722978194,0.2604080274286135
2022-04-20 23:00:00+00:00,39536499.215878,38971228.549005,-565270.6668730006,32888065.104294,6083163.444711,0.7179167773416433,0.843906295202841
2022-04-21 00:00:00+00:00,111918917.60440801,80782670.666655,-31136246.937753007,16172259.765976,64610410.900679,0.4108764502730256,0.20019466591677676
2022-04-21 01:00:00+00:00,139130948.5334,136982698.940873,-2148249.592527002,16446406.280184,120536292.660689,0.705909485471572,0.1200619232015782
2022-04-21 02:00:00+00:00,76517135.666539,70955255.03443201,-5561880.63210699,16641971.034428,54313284.000004,0.5301559823685341,0.23454176898317478
2022-04-21 03:00:00+00:00,96216087.60331699,88609471.088529,-7606616.514787987,22426827.434174,66182643.654355004,0.38330683097171075,0.253097407745133
2022-04-21 04:00:00+00:00,90476333.985513,61061217.79692,-29415116.188593,32381689.399358,28679528.397562,0.35974592874547934,0.530315158584855
2022-04-21 05:00:00+00:00,61030879.767806,64380565.783239,3349686.0154329985,32226047.117799,32154518.66544,0.34894129267251245,0.5005555127660716
2022-04-21 06:00:00+00:00,93373893.84537499,86877775.935737,-6496117.909637988,143000.012626,86734775.923111,0.6470485364721738,0.0016459907161041544
2022-04-21 07:00:00+00:00,9176394.871005,4783315.569259,-4393079.301746001,205520.684625,4577794.884634,0.0869922444341095,0.042966156351009456
2022-04-21 08:00:00+00:00,8796523.437752,5890496.929601,-2906026.5081509994,70271.371708,5820225.557893,0.13468893216069927,0.011929616897832748
2022-04-21 09:00:00+00:00,12402364.511914,25182489.052299,12780124.540385,2787330.6827889998,22395158.36951,0.1968738213743483,0.11068527328653933
2022-04-21 10:00:00+00:00,10986877.464739,9336082.612717,-1650794.8520219997,199617.471381,9136465.141336,0.07239465920368832,0.021381288026424933
2022-04-21 11:00:00+00:00,21194246.612857,8935569.921615,-12258676.691241998,137.779192,8935432.142423,0.1017502217463988,1.5419183466598402e-05
2022-04-21 12:00:00+00:00,34466513.285219,13898409.76712,-20568103.518099,604323.202639,13294086.564481,0.10890253196394878,0.04348146390594056
2022-04-21 13:00:00+00:00,25508983.267346,18429159.040985,-7079824.226360999,66847.116952,18362311.924033,0.08649782540155689,0.003627247277172945
2022-04-21 14:00:00+00:00,19270463.955221,9363968.818749,-9906495.136472002,1747614.525373,7616354.293376,0.05893257514540175,0.18663181811048324
2022-04-21 15:00:00+00:00,121803910.00196001,9752605.096213,-112051304.90574701,110813.866483,9641791.22973,0.03682936746305866,0.011362488831423078
2022-04-21 16:00:00+00:00,26211328.346666,17182056.311688,-9029272.034978002,435232.815173,16746823.496515,0.09256053152428942,0.02533065933889038
2022-04-21 17:00:00+00:00,10558333.583397,48289116.473946005,37730782.890549004,11246.974118,48277869.499828,0.5588604489523401,0.0002329090888227001
2022-04-21 18:00:00+00:00,8887663.466026,15752203.627485001,6864540.161459001,10062839.825457001,5689363.802028,0.41720870403257876,0.6388210858256684
2022-04-21 19:00:00+00:00,15910560.654495,13420257.957147,-2490302.6973480005,138047.06823600002,13282210.888911,0.11754848619666666,0.010286469058702603
2022-04-21 20:00:00+00:00,21019106.689232998,14025757.552264,-6993349.136968998,202929.638962,13822827.913302,0.17460941419310444,0.014468354968052592
2022-04-21 21:00:00+00:00,8691937.373409,47701943.868006006,39010006.494597,660421.6374829999,47041522.230523005,0.47676291194139153,0.013844753146966593
